Site:,GorstenN2,6875,tonnes,118,days,2832,timesteps,,
3,4,4,3,85,9,mg,ug,ug,
Day,Time,A-Chem(fd)ug/d,A-Chem(fae)ug/d,A-FI(kg/d for farm),,,,,
#NAME?,738,0,25726397,6076
#NAME?,739,0,25726397,6076
#NAME?,740,0,25726397,6076
#NAME?,741,0,25726397,6076
#NAME?,742,0,25726397,6076
#NAME?,743,0,25726397,6076
#NAME?,744,0,25726397,6076
#NAME?,745,0,25235797,6076
#NAME?,746,0,25235797,6076
#NAME?,747,0,25235797,6076
#NAME?,748,0,25235797,6076
#NAME?,749,0,25235797,6076
#NAME?,750,0,25235797,6076
#NAME?,751,0,25235797,6076
#NAME?,752,0,25235797,6076
#NAME?,753,0,25235797,6076
#NAME?,754,0,25235797,6076
#NAME?,755,0,25235797,6076
#NAME?,756,0,25235797,6076
#NAME?,757,0,25235797,6076
#NAME?,758,0,25235797,6076
#NAME?,759,0,25235797,6076
#NAME?,760,0,25235797,6076
#NAME?,761,0,25235797,6076
#NAME?,762,0,25235797,6076
#NAME?,763,0,25235797,6076
#NAME?,764,0,25235797,6076
#NAME?,765,0,25235797,6076
#NAME?,766,0,25235797,6076
#NAME?,767,0,25235797,6076
#NAME?,768,0,25235797,6076
